Month #,Day,Hour,Timestamp (Hour Ending),Demand (MWh),1 MW DC Array Output (W), 1 MW AC System Output (W),1 MW DC Array Output (MW),1 MW AC System Output (MW),20 MW DC Array Output (W),20 MW AC System Output (W),20 MW DC Output (MW),20 MW AC Output (MW)
1,1,0,1/1/2020 12 a.m. EST,44,0,0,0,0,0,0,0,0
1,1,1,1/1/2020 1 a.m. EST,44,0,0,0,0,0,0,0,0
1,1,2,1/1/2020 2 a.m. EST,43,0,0,0,0,0,0,0,0
1,1,3,1/1/2020 3 a.m. EST,40,0,0,0,0,0,0,0,0
1,1,4,1/1/2020 4 a.m. EST,37,0,0,0,0,0,0,0,0
1,1,5,1/1/2020 5 a.m. EST,35,0,0,0,0,0,0,0,0
1,1,6,1/1/2020 6 a.m. EST,35,0,0,0,0,0,0,0,0
1,1,7,1/1/2020 7 a.m. EST,35,106884.891,99648.328,0.106884891,0.099648328,2137697.75,1992966.625,2.13769775,1.992966625
1,1,8,1/1/2020 8 a.m. EST,34,430510.688,414220.563,0.430510688,0.414220563,8610214,8284411,8.610214,8.284411
1,1,9,1/1/2020 9 a.m. EST,37,411247.688,395605.438,0.411247688,0.395605438,8224954,7912109,8.224954,7.912109
1,1,10,1/1/2020 10 a.m. EST,42,575296.375,553695,0.575296375,0.553695,11505927,11073900,11.505927,11.0739
1,1,11,1/1/2020 11 a.m. EST,47,558422.063,537479.813,0.558422063,0.537479813,11168441,10749596,11.168441,10.749596
1,1,12,1/1/2020 12 p.m. EST,53,548026.75,527485.313,0.54802675,0.527485313,10960535,10549706,10.960535,10.549706
1,1,13,1/1/2020 1 p.m. EST,57,556817.688,535937.563,0.556817688,0.535937563,11136353,10718751,11.136353,10.718751
1,1,14,1/1/2020 2 p.m. EST,61,567575.75,546277.25,0.56757575,0.54627725,11351515,10925545,11.351515,10.925545
1,1,15,1/1/2020 3 p.m. EST,64,486643.031,468386.25,0.486643031,0.46838625,9732860,9367725,9.73286,9.367725
1,1,16,1/1/2020 4 p.m. EST,66,184519.719,175466.328,0.184519719,0.175466328,3690394.5,3509326.5,3.6903945,3.5093265
1,1,17,1/1/2020 5 p.m. EST,64,8134.613,2885.219,0.008134613,0.002885219,162692.25,57704.371,0.16269225,0.057704371
1,1,18,1/1/2020 6 p.m. EST,62,0,0,0,0,0,0,0,0
1,1,19,1/1/2020 7 p.m. EST,66,0,0,0,0,0,0,0,0
1,1,20,1/1/2020 8 p.m. EST,64,0,0,0,0,0,0,0,0
1,1,21,1/1/2020 9 p.m. EST,61,0,0,0,0,0,0,0,0
1,1,22,1/1/2020 10 p.m. EST,58,0,0,0,0,0,0,0,0
1,1,23,1/1/2020 11 p.m. EST,53,0,0,0,0,0,0,0,0
1,2,0,1/2/2020 12 a.m. EST,48,0,0,0,0,0,0,0,0
1,2,1,1/2/2020 1 a.m. EST,42,0,0,0,0,0,0,0,0
1,2,2,1/2/2020 2 a.m. EST,39,0,0,0,0,0,0,0,0
1,2,3,1/2/2020 3 a.m. EST,36,0,0,0,0,0,0,0,0
1,2,4,1/2/2020 4 a.m. EST,35,0,0,0,0,0,0,0,0
1,2,5,1/2/2020 5 a.m. EST,34,0,0,0,0,0,0,0,0
1,2,6,1/2/2020 6 a.m. EST,37,0,0,0,0,0,0,0,0
1,2,7,1/2/2020 7 a.m. EST,39,100312.922,93219.867,0.100312922,0.093219867,2006258.375,1864397.375,2.006258375,1.864397375
1,2,8,1/2/2020 8 a.m. EST,39,405636.469,390180.344,0.405636469,0.390180344,8112729,7803607,8.112729,7.803607
1,2,9,1/2/2020 9 a.m. EST,42,348620.25,334989.063,0.34862025,0.334989063,6972405.5,6699781.5,6.9724055,6.6997815
1,2,10,1/2/2020 10 a.m. EST,48,392580.469,377552.906,0.392580469,0.377552906,7851609.5,7551058,7.8516095,7.551058
1,2,11,1/2/2020 11 a.m. EST,53,348903.969,335264,0.348903969,0.335264,6978079.5,6705280,6.9780795,6.70528
1,2,12,1/2/2020 12 p.m. EST,58,293337.375,281360.188,0.293337375,0.281360188,5866747.5,5627204,5.8667475,5.627204
1,2,13,1/2/2020 1 p.m. EST,62,92015.883,85101.719,0.092015883,0.085101719,1840317.625,1702034.375,1.840317625,1.702034375
1,2,14,1/2/2020 2 p.m. EST,66,103794.125,96625.258,0.103794125,0.096625258,2075882.5,1932505.125,2.0758825,1.932505125
1,2,15,1/2/2020 3 p.m. EST,69,71298.422,64819.758,0.071298422,0.064819758,1425968.375,1296395.25,1.425968375,1.29639525
1,2,16,1/2/2020 4 p.m. EST,70,6780.605,1555.939,0.006780605,0.001555939,135612.109,31118.771,0.135612109,0.031118771
1,2,17,1/2/2020 5 p.m. EST,69,0,0,0,0,0,0,0,0
1,2,18,1/2/2020 6 p.m. EST,70,0,0,0,0,0,0,0,0
1,2,19,1/2/2020 7 p.m. EST,76,0,0,0,0,0,0,0,0
1,2,20,1/2/2020 8 p.m. EST,73,0,0,0,0,0,0,0,0
1,2,21,1/2/2020 9 p.m. EST,70,0,0,0,0,0,0,0,0
1,2,22,1/2/2020 10 p.m. EST,67,0,0,0,0,0,0,0,0
1,2,23,1/2/2020 11 p.m. EST,62,0,0,0,0,0,0,0,0
1,3,0,1/3/2020 12 a.m. EST,58,0,0,0,0,0,0,0,0
1,3,1,1/3/2020 1 a.m. EST,52,0,0,0,0,0,0,0,0
1,3,2,1/3/2020 2 a.m. EST,48,0,0,0,0,0,0,0,0
1,3,3,1/3/2020 3 a.m. EST,46,0,0,0,0,0,0,0,0
1,3,4,1/3/2020 4 a.m. EST,44,0,0,0,0,0,0,0,0
1,3,5,1/3/2020 5 a.m. EST,43,0,0,0,0,0,0,0,0
1,3,6,1/3/2020 6 a.m. EST,45,0,0,0,0,0,0,0,0
1,3,7,1/3/2020 7 a.m. EST,47,93081.305,86144.313,0.093081305,0.086144313,1861626,1722886.25,1.861626,1.72288625
1,3,8,1/3/2020 8 a.m. EST,46,306100.75,293751.813,0.30610075,0.293751813,6122015,5875036,6.122015,5.875036
1,3,9,1/3/2020 9 a.m. EST,50,364808.844,350671.781,0.364808844,0.350671781,7296177,7013436,7.296177,7.013436
1,3,10,1/3/2020 10 a.m. EST,56,307934.719,295531.844,0.307934719,0.295531844,6158694.5,5910637,6.1586945,5.910637
1,3,11,1/3/2020 11 a.m. EST,60,380643.5,366002.219,0.3806435,0.366002219,7612870,7320044.5,7.61287,7.3200445
1,3,12,1/3/2020 12 p.m. EST,65,349094.063,335448.219,0.349094063,0.335448219,6981881.5,6708964,6.9818815,6.708964
1,3,13,1/3/2020 1 p.m. EST,68,293254.719,281279.938,0.293254719,0.281279938,5865094.5,5625598.5,5.8650945,5.6255985
1,3,14,1/3/2020 2 p.m. EST,71,157148.484,148761.219,0.157148484,0.148761219,3142969.75,2975224.25,3.14296975,2.97522425
1,3,15,1/3/2020 3 p.m. EST,73,540669.875,520409.625,0.540669875,0.520409625,10813398,10408193,10.813398,10.408193
1,3,16,1/3/2020 4 p.m. EST,74,364329.75,350207.781,0.36432975,0.350207781,7286594.5,7004156,7.2865945,7.004156
1,3,17,1/3/2020 5 p.m. EST,75,13573.056,8223.657,0.013573056,0.008223657,271461.125,164473.141,0.271461125,0.164473141
1,3,18,1/3/2020 6 p.m. EST,74,0,0,0,0,0,0,0,0
1,3,19,1/3/2020 7 p.m. EST,78,0,0,0,0,0,0,0,0
1,3,20,1/3/2020 8 p.m. EST,76,0,0,0,0,0,0,0,0
1,3,21,1/3/2020 9 p.m. EST,72,0,0,0,0,0,0,0,0
1,3,22,1/3/2020 10 p.m. EST,67,0,0,0,0,0,0,0,0
1,3,23,1/3/2020 11 p.m. EST,63,0,0,0,0,0,0,0,0
1,4,0,1/4/2020 12 a.m. EST,58,0,0,0,0,0,0,0,0
1,4,1,1/4/2020 1 a.m. EST,54,0,0,0,0,0,0,0,0
1,4,2,1/4/2020 2 a.m. EST,51,0,0,0,0,0,0,0,0
1,4,3,1/4/2020 3 a.m. EST,48,0,0,0,0,0,0,0,0
1,4,4,1/4/2020 4 a.m. EST,46,0,0,0,0,0,0,0,0
1,4,5,1/4/2020 5 a.m. EST,45,0,0,0,0,0,0,0,0
1,4,6,1/4/2020 6 a.m. EST,45,0,0,0,0,0,0,0,0
1,4,7,1/4/2020 7 a.m. EST,45,84008.258,77264.32,0.084008258,0.07726432,1680165.25,1545286.375,1.68016525,1.545286375
1,4,8,1/4/2020 8 a.m. EST,44,395213.563,380100.094,0.395213563,0.380100094,7904271.5,7602001.5,7.9042715,7.6020015
1,4,9,1/4/2020 9 a.m. EST,50,320655.156,307874.875,0.320655156,0.307874875,6413103,6157497.5,6.413103,6.1574975
1,4,10,1/4/2020 10 a.m. EST,58,567583.875,546285.063,0.567583875,0.546285063,11351677,10925701,11.351677,10.925701
1,4,11,1/4/2020 11 a.m. EST,64,353905.375,340110.094,0.353905375,0.340110094,7078107.5,6802202,7.0781075,6.802202
1,4,12,1/4/2020 12 p.m. EST,70,382581.594,367877.969,0.382581594,0.367877969,7651632,7357559,7.651632,7.357559
1,4,13,1/4/2020 1 p.m. EST,74,324758.844,311855.5,0.324758844,0.3118555,6495176.5,6237110,6.4951765,6.23711
1,4,14,1/4/2020 2 p.m. EST,78,309044.813,296609.25,0.309044813,0.29660925,6180896,5932184.5,6.180896,5.9321845
1,4,15,1/4/2020 3 p.m. EST,81,126564.813,118888.906,0.126564813,0.118888906,2531296.25,2377778,2.53129625,2.377778
1,4,16,1/4/2020 4 p.m. EST,82,23086.213,17559.238,0.023086213,0.017559238,461724.25,351184.75,0.46172425,0.35118475
1,4,17,1/4/2020 5 p.m. EST,80,2027.281,0,0.002027281,0,40545.629,0,0.040545629,0
1,4,18,1/4/2020 6 p.m. EST,79,0,0,0,0,0,0,0,0
1,4,19,1/4/2020 7 p.m. EST,80,0,0,0,0,0,0,0,0
1,4,20,1/4/2020 8 p.m. EST,75,0,0,0,0,0,0,0,0
1,4,21,1/4/2020 9 p.m. EST,70,0,0,0,0,0,0,0,0
1,4,22,1/4/2020 10 p.m. EST,66,0,0,0,0,0,0,0,0
1,4,23,1/4/2020 11 p.m. EST,61,0,0,0,0,0,0,0,0
1,5,0,1/5/2020 12 a.m. EST,52,0,0,0,0,0,0,0,0
1,5,1,1/5/2020 1 a.m. EST,47,0,0,0,0,0,0,0,0
