"PVWatts: Hourly PV Performance Data"
"Requested Location:","homestead florida"
"Location:","Lat, Lon: 25.45, -80.46"
"Lat (deg N):","25.45"
"Long (deg W):","80.46"
"Elev (m):","2.5999999046326"
"DC System Size (kW):","1000"
"Module Type:","Standard"
"Array Type:","1-Axis Tracking"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Ground Coverage Ratio:","0.4"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.118"
"Capacity Factor (%)","21.2"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","23","5","0","23","0","0"
"1","1","1","0","0","23","5","0","23","0","0"
"1","1","2","0","0","23","5","0","23","0","0"
"1","1","3","0","0","23","5","0","23","0","0"
"1","1","4","0","0","23","5","0","23","0","0"
"1","1","5","0","0","23","5","0","23","0","0"
"1","1","6","0","0","23","4","0","23","0","0"
"1","1","7","268","22","23","4","126.775","24.407","106884.891","99648.328"
"1","1","8","663","55","24","4","528.352","34.329","430510.688","414220.563"
"1","1","9","411","156","24","4","503.656","34.602","411247.688","395605.438"
"1","1","10","881","79","25","4","728.411","40.269","575296.375","553695"
"1","1","11","913","84","25","4","709.936","40.317","558422.063","537479.813"
"1","1","12","918","87","25","4","696.692","40.005","548026.75","527485.313"
"1","1","13","893","89","25","4","707.019","40.195","556817.688","535937.563"
"1","1","14","848","85","25","3","724.877","42.132","567575.75","546277.25"
"1","1","15","615","103","25","3","611.694","39.616","486643.031","468386.25"
"1","1","16","165","90","24","3","220.325","29.306","184519.719","175466.328"
"1","1","17","0","12","24","2","9.392","23.285","8134.613","2885.219"
"1","1","18","0","0","24","2","0","24","0","0"
"1","1","19","0","0","24","2","0","24","0","0"
"1","1","20","0","0","24","2","0","24","0","0"
"1","1","21","0","0","24","2","0","24","0","0"
"1","1","22","0","0","24","2","0","24","0","0"
"1","1","23","0","0","24","3","0","24","0","0"
"1","2","0","0","0","24","3","0","24","0","0"
"1","2","1","0","0","24","3","0","24","0","0"
"1","2","2","0","0","24","2","0","24","0","0"
"1","2","3","0","0","24","2","0","24","0","0"
"1","2","4","0","0","24","2","0","24","0","0"
"1","2","5","0","0","24","2","0","24","0","0"
"1","2","6","0","0","24","2","0","24","0","0"
"1","2","7","236","22","24","2","119.448","25.559","100312.922","93219.867"
"1","2","8","612","57","24","2","501.772","35.984","405636.469","390180.344"
"1","2","9","301","174","24","3","425.023","33.814","348620.25","334989.063"
"1","2","10","324","240","24","3","481.891","34.944","392580.469","377552.906"
"1","2","11","175","308","24","3","425.368","33.774","348903.969","335264"
"1","2","12","78","304","25","3","355.665","33.021","293337.375","281360.188"
"1","2","13","0","116","25","3","108.126","27.028","92015.883","85101.719"
"1","2","14","0","145","25","3","121.793","26.73","103794.125","96625.258"
"1","2","15","0","102","25","3","83.314","25.846","71298.422","64819.758"
"1","2","16","0","10","24","3","7.815","22.908","6780.605","1555.939"
"1","2","17","0","0","24","3","0","24","0","0"
"1","2","18","0","0","24","4","0","24","0","0"
"1","2","19","0","0","24","4","0","24","0","0"
"1","2","20","0","0","24","4","0","24","0","0"
"1","2","21","0","0","24","4","0","24","0","0"
"1","2","22","0","0","24","4","0","24","0","0"
"1","2","23","0","0","24","3","0","24","0","0"
"1","3","0","0","0","24","3","0","24","0","0"
"1","3","1","0","0","24","3","0","24","0","0"
"1","3","2","0","0","24","3","0","24","0","0"
"1","3","3","0","0","24","3","0","24","0","0"
"1","3","4","0","0","24","3","0","24","0","0"
"1","3","5","0","0","24","3","0","24","0","0"
"1","3","6","0","0","24","3","0","24","0","0"
"1","3","7","188","23","24","3","110.312","25.157","93081.305","86144.313"
