"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/1/2020 12 a.m. EDT",86,85,0,-86
HST,"7/1/2020 1 a.m. EDT",77,75,0,-77
HST,"7/1/2020 2 a.m. EDT",71,69,0,-71
HST,"7/1/2020 3 a.m. EDT",68,64,0,-68
HST,"7/1/2020 4 a.m. EDT",64,62,0,-64
HST,"7/1/2020 5 a.m. EDT",63,59,0,-63
HST,"7/1/2020 6 a.m. EDT",64,60,0,-64
HST,"7/1/2020 7 a.m. EDT",64,60,0,-64
HST,"7/1/2020 8 a.m. EDT",64,61,0,-64
HST,"7/1/2020 9 a.m. EDT",70,67,0,-70
HST,"7/1/2020 10 a.m. EDT",78,75,0,-78
HST,"7/1/2020 11 a.m. EDT",87,84,0,-87
HST,"7/1/2020 12 p.m. EDT",95,93,0,-95
HST,"7/1/2020 1 p.m. EDT",101,101,0,-101
HST,"7/1/2020 2 p.m. EDT",107,108,0,-107
HST,"7/1/2020 3 p.m. EDT",111,110,0,-111
HST,"7/1/2020 4 p.m. EDT",114,109,0,-114
HST,"7/1/2020 5 p.m. EDT",115,108,0,-115
HST,"7/1/2020 6 p.m. EDT",117,108,0,-117
HST,"7/1/2020 7 p.m. EDT",116,111,0,-116
HST,"7/1/2020 8 p.m. EDT",112,105,0,-112
HST,"7/1/2020 9 p.m. EDT",108,104,0,-108
HST,"7/1/2020 10 p.m. EDT",102,100,0,-102
HST,"7/1/2020 11 p.m. EDT",94,94,0,-94
HST,"7/2/2020 12 a.m. EDT",86,86,0,-86
HST,"7/2/2020 1 a.m. EDT",78,83,0,-78
HST,"7/2/2020 2 a.m. EDT",72,77,0,-72
HST,"7/2/2020 3 a.m. EDT",68,74,0,-68
HST,"7/2/2020 4 a.m. EDT",65,71,0,-65
HST,"7/2/2020 5 a.m. EDT",64,69,0,-64
HST,"7/2/2020 6 a.m. EDT",64,66,0,-64
HST,"7/2/2020 7 a.m. EDT",63,67,0,-63
HST,"7/2/2020 8 a.m. EDT",64,68,0,-64
HST,"7/2/2020 9 a.m. EDT",71,74,0,-71
HST,"7/2/2020 10 a.m. EDT",78,86,0,-78
HST,"7/2/2020 11 a.m. EDT",87,91,0,-87
HST,"7/2/2020 12 p.m. EDT",96,101,0,-96
HST,"7/2/2020 1 p.m. EDT",103,107,0,-103
HST,"7/2/2020 2 p.m. EDT",107,111,0,-107
HST,"7/2/2020 3 p.m. EDT",111,112,0,-111
HST,"7/2/2020 4 p.m. EDT",113,115,0,-113
HST,"7/2/2020 5 p.m. EDT",114,115,0,-114
HST,"7/2/2020 6 p.m. EDT",114,113,0,-114
HST,"7/2/2020 7 p.m. EDT",109,110,0,-109
HST,"7/2/2020 8 p.m. EDT",99,106,0,-99
HST,"7/2/2020 9 p.m. EDT",95,106,0,-95
HST,"7/2/2020 10 p.m. EDT",93,103,0,-93
HST,"7/2/2020 11 p.m. EDT",87,97,0,-87
HST,"7/3/2020 12 a.m. EDT",81,89,0,-81
HST,"7/3/2020 1 a.m. EDT",74,81,0,-74
HST,"7/3/2020 2 a.m. EDT",69,75,0,-69
HST,"7/3/2020 3 a.m. EDT",64,70,0,-64
HST,"7/3/2020 4 a.m. EDT",61,67,0,-61
HST,"7/3/2020 5 a.m. EDT",60,66,0,-60
HST,"7/3/2020 6 a.m. EDT",60,66,0,-60
HST,"7/3/2020 7 a.m. EDT",60,66,0,-60
HST,"7/3/2020 8 a.m. EDT",61,67,0,-61
HST,"7/3/2020 9 a.m. EDT",68,73,0,-68
HST,"7/3/2020 10 a.m. EDT",77,81,0,-77
HST,"7/3/2020 11 a.m. EDT",87,90,0,-87
HST,"7/3/2020 12 p.m. EDT",95,98,0,-95
